IATA,City,Timezone
GDN,Gdansk,Europe/Warsaw
KRK,Krakow,Europe/Warsaw
KTW,Katowice,Europe/Warsaw
POZ,Poznan,Europe/Warsaw
RZE,Rzeszow,Europe/Warsaw
SZZ,Szczecin,Europe/Warsaw
OSP,Slupsk,Europe/Warsaw
WAW,Warsaw,Europe/Warsaw
WRO,Wroclaw,Europe/Warsaw
IEG,Zielona Gora,Europe/Warsaw
RNB,Ronneby,Europe/Stockholm
GOT,Gothenborg,Europe/Stockholm
JKG,Joenkoeping,Europe/Stockholm
LDK,Lidkoping,Europe/Stockholm
GSE,Gothenborg,Europe/Stockholm
KVB,Skovde,Europe/Stockholm
THN,Trollhattan,Europe/Stockholm
KSK,Karlskoga,Europe/Stockholm
MXX,Mora,Europe/Stockholm
NYO,Stockholm,Europe/Stockholm
KID,Kristianstad,Europe/Stockholm
OSK,Oskarshamn,Europe/Stockholm
KLR,Kalkmar,Europe/Stockholm
MMX,Malmoe,Europe/Stockholm
HAD,Halmstad,Europe/Stockholm
VXO,Vaxjo,Europe/Stockholm
EVG,Sveg,Europe/Stockholm
GEV,Gallivare,Europe/Stockholm
HUV,Hudiksvall,Europe/Stockholm
KRF,Kramfors,Europe/Stockholm
LYC,Lycksele,Europe/Stockholm
SDL,Sundsvall,Europe/Stockholm
OER,Ornskoldsvik,Europe/Stockholm
KRN,Kiruna,Europe/Stockholm
SFT,Skelleftea,Europe/Stockholm
UME,Umea,Europe/Stockholm
VHM,Vilhelmina,Europe/Stockholm
AJR,Arvidsjaur,Europe/Stockholm
ORB,Orebro,Europe/Stockholm
VST,Vasteras,Europe/Stockholm
LLA,Lulea,Europe/Stockholm
ARN,Stockholm,Europe/Stockholm
BMA,Stockholm,Europe/Stockholm
BLE,Borlange,Europe/Stockholm
HLF,Hultsfred,Europe/Stockholm
GVX,Gavle,Europe/Stockholm
LPI,Linkoeping,Europe/Stockholm
NRK,Norrkoeping,Europe/Stockholm
EKT,Eskilstuna,Europe/Stockholm
VBY,Visby,Europe/Stockholm
SPM,Spangdahlem,Europe/Berlin
RMS,Ramstein,Europe/Berlin
GHF,Giebelstadt,Europe/Berlin
ZCN,Celle,Europe/Berlin
FRZ,Fritzlar,Europe/Berlin
ZNF,Hanau,Europe/Berlin
KZG,Kitzingen,Europe/Berlin
FCN,Nordholz,Europe/Berlin
GKE,Geilenkirchen,Europe/Berlin
RLG,Laage,Europe/Berlin
WBG,Schleswig,Europe/Berlin
WIE,Wiesbaden,Europe/Berlin
FEL,Fuerstenfeldbruck,Europe/Berlin
IGS,Ingolstadt,Europe/Berlin
GUT,Guetersloh,Europe/Berlin
ALJ,Alexander Bay,Africa/Johannesburg
AGZ,Aggeneys,Africa/Johannesburg
BIY,Bisho,Africa/Johannesburg
BFN,Bloemfontein,Africa/Johannesburg
CPT,Cape Town,Africa/Johannesburg
DUR,Durban,Africa/Johannesburg
ELS,East London,Africa/Johannesburg
FCB,Ficksburg,Africa/Johannesburg
GCJ,Johannesburg,Africa/Johannesburg
